identifier,category,description
挤压分屏,Transitions,Free
推近_II,Transitions,Free
推远_II,Transitions,Free
摄像机,Transitions,Free
摇晃描边,Transitions,Free
摇晃震动,Transitions,Free
摇镜,Transitions,Free
撕纸,Transitions,Free
撕纸掉落,Transitions,Free
收缩抖动,Transitions,Free
放大左移,Transitions,Free
放大镜,Transitions,Free
故障扫描,Transitions,Free
故障模糊,Transitions,Free
数字矩阵,Transitions,Free
斜向模糊,Transitions,Free
斜向闪光,Transitions,Free
斜线翻页,Transitions,Free
新篇章,Transitions,Free
新篇章_II,Transitions,Free
方形分割,Transitions,Free
方形变焦,Transitions,Free
方形模糊,Transitions,Free
方形模糊_II,Transitions,Free
方片翻转,Transitions,Free
旋焦,Transitions,Free
旋转圆球,Transitions,Free
旋转圆盘,Transitions,Free
旋转圆盘_II,Transitions,Free
旋转快门,Transitions,Free
旋转拨盘,Transitions,Free
旋转模糊,Transitions,Free
旋转穿越,Transitions,Free
旋转纵深,Transitions,Free
旋转翻页,Transitions,Free
旋转震动,Transitions,Free
无缝撕裂,Transitions,Free
无限穿越_I,Transitions,Free
无限穿越_II,Transitions,Free
日历转场,Transitions,Free
旧胶片,Transitions,Free
旧胶片_II,Transitions,Free
时光穿梭,Transitions,Free
星光,Transitions,Free
星光叠化,Transitions,Free
星光炸开,Transitions,Free
星星_III,Transitions,Free
星星变焦,Transitions,Free
星星吸入,Transitions,Free
星星模糊,Transitions,Free
春日光斑,Transitions,Free
暧昧光晕,Transitions,Free
曝光拉丝,Transitions,Free
曝光摇镜,Transitions,Free
未来光谱,Transitions,Free
未来光谱II,Transitions,Free
条形模糊,Transitions,Free
模糊放大,Transitions,Free
模糊细闪,Transitions,Free
模糊缩小,Transitions,Free
横向分屏,Transitions,Free
横向滑动,Transitions,Free
横向震动,Transitions,Free
横条挤压,Transitions,Free
横移模糊,Transitions,Free
樱花飞舞,Transitions,Free
水滴,Transitions,Free
水滴_II,Transitions,Free
水滴_III,Transitions,Free
水滴溶解,Transitions,Free
汇聚,Transitions,Free
泡泡模糊,Transitions,Free
波光粼粼,Transitions,Free
波动,Transitions,Free
波动_II,Transitions,Free
波动故障,Transitions,Free
泼墨晕染,Transitions,Free
流光,Transitions,Free
涂鸦放大,Transitions,Free
溶解推进,Transitions,Free
滑动压迫感,Transitions,Free
滑动弹出,Transitions,Free
滑动放大,Transitions,Free
滑块拼贴,Transitions,Free
滚动立方,Transitions,Free
漩涡扭曲,Transitions,Free
漫画撕纸,Transitions,Free
火焰湍流,Transitions,Free
炫光,Transitions,Free
炫光_II,Transitions,Free
炫光_III,Transitions,Free
炫光弹动,Transitions,Free
炫光扫描,Transitions,Free
炫光扭动,Transitions,Free
炸弹,Transitions,Free
烟花光斑,Transitions,Free
烟雾弹,Transitions,Free
热成像,Transitions,Free
燃烧,Transitions,Free
燃烧_II,Transitions,Free
燃烧_III,Transitions,Free
爆米花,Transitions,Free
爆闪,Transitions,Free
爆闪_II,Transitions,Free
爱心冲击,Transitions,Free
爱心模糊,Transitions,Free
爱心气球,Transitions,Free
爱心软糖,Transitions,Free
爱心遮罩,Transitions,Free
环回推近,Transitions,Free
环形色散,Transitions,Free
玻璃破碎,Transitions,Free
玻璃破碎_II,Transitions,Free
珠光模糊,Transitions,Free
生气,Transitions,Free
电光,Transitions,Free
电光_II,Transitions,Free
电流,Transitions,Free
畸变回弹,Transitions,Free
百叶窗_II,Transitions,Free
相机缩小,Transitions,Free
相片切换,Transitions,Free
相片拼贴,Transitions,Free
礼物落下,Transitions,Free
空间上移,Transitions,Free
空间弹动,Transitions,Free
空间弹动_II,Transitions,Free
空间弹动_III,Transitions,Free
空间弹动_IV,Transitions,Free
空间旋转,Transitions,Free
空间旋转_II,Transitions,Free
空间旋转_III,Transitions,Free
空间翻转,Transitions,Free
空间翻转_II,Transitions,Free
空间跳跃,Transitions,Free
穿越,Transitions,Free
穿越_II,Transitions,Free
穿越_III,Transitions,Free
立体旋转,Transitions,Free
立体翻转,Transitions,Free
立体翻页,Transitions,Free
立体翻页_II,Transitions,Free
立方旋转,Transitions,Free
竖向拉伸,Transitions,Free
竖移模糊,Transitions,Free
笔迹涂抹,Transitions,Free
粉色反转片,Transitions,Free
红包雨,Transitions,Free
纵向滑动,Transitions,Free
纸团,Transitions,Free
翻书转场,Transitions,Free
翻转冲屏,Transitions,Free
翻页_II,Transitions,Free
聚光灯,Transitions,Free
胶卷滑动,Transitions,Free
胶片切闪,Transitions,Free
胶片定格,Transitions,Free
胶片擦除,Transitions,Free
胶片融化,Transitions,Free
胶片闪光,Transitions,Free
色块故障,Transitions,Free
色差故障,Transitions,Free
色彩溶解_IV,Transitions,Free
色彩溶解_V,Transitions,Free
色彩负片,Transitions,Free
色散晃镜,Transitions,Free
色散波纹,Transitions,Free
色散漩涡,Transitions,Free
色散闪烁,Transitions,Free
色散闪烁_II,Transitions,Free
草图转场,Transitions,Free
荧光爆闪,Transitions,Free
菱格翻转,Transitions,Free
蓝光扫描,Transitions,Free
蓝色反转片,Transitions,Free
虹光旋入,Transitions,Free
融化,Transitions,Free
融化_II,Transitions,Free
课本转场,Transitions,Free
负片下滑,Transitions,Free
赛博马赛克,Transitions,Free
超赞,Transitions,Free
