identifier,category,type,description
魔方_III,Text Animations,TextIntro,Free
魔法粒子I,Text Animations,TextIntro,Free
魔法粒子II,Text Animations,TextIntro,Free
黑白画中画,Text Animations,TextIntro,Free
Kira游动,Text Animations,TextOutro,Free
冰雪融化,Text Animations,TextOutro,Free
向上滑动,Text Animations,TextOutro,Free
向上转出,Text Animations,TextOutro,Free
向上转出_II,Text Animations,TextOutro,Free
向下滑动,Text Animations,TextOutro,Free
向右滑动,Text Animations,TextOutro,Free
向左滑动,Text Animations,TextOutro,Free
折叠闭幕,Text Animations,TextOutro,Free
放大,Text Animations,TextOutro,Free
斜切,Text Animations,TextOutro,Free
旋转,Text Animations,TextOutro,Free
旋转闭幕,Text Animations,TextOutro,Free
渐隐,Text Animations,TextOutro,Free
漩涡旋转,Text Animations,TextOutro,Free
灼烧出现,Text Animations,TextOutro,Free
缩小,Text Animations,TextOutro,Free
翻出,Text Animations,TextOutro,Free
跳转闭幕,Text Animations,TextOutro,Free
轻微放大,Text Animations,TextOutro,Free
镜像翻转,Text Animations,TextOutro,Free
_2024,Text Animations,TextOutro,Free
_2025,Text Animations,TextOutro,Free
PASSION,Text Animations,TextOutro,Free
三屏下滑,Text Animations,TextOutro,Free
三屏切闪,Text Animations,TextOutro,Free
九宫格,Text Animations,TextOutro,Free
交叉震动,Text Animations,TextOutro,Free
交错闭幕,Text Animations,TextOutro,Free
侧滑,Text Animations,TextOutro,Free
便利贴,Text Animations,TextOutro,Free
冬季雪花,Text Animations,TextOutro,Free
冰块,Text Animations,TextOutro,Free
冲撞,Text Animations,TextOutro,Free
分屏横移,Text Animations,TextOutro,Free
分屏组合,Text Animations,TextOutro,Free
分屏翻转,Text Animations,TextOutro,Free
分身模糊,Text Animations,TextOutro,Free
划水,Text Animations,TextOutro,Free
区域色块滑动,Text Animations,TextOutro,Free
十字震动,Text Animations,TextOutro,Free
卡片扫光,Text Animations,TextOutro,Free
发光矩形,Text Animations,TextOutro,Free
变速扩大,Text Animations,TextOutro,Free
变速时空,Text Animations,TextOutro,Free
向上滚动,Text Animations,TextOutro,Free
向上闪出,Text Animations,TextOutro,Free
向下甩动,Text Animations,TextOutro,Free
四屏转换,Text Animations,TextOutro,Free
圆形闭幕,Text Animations,TextOutro,Free
多层环形,Text Animations,TextOutro,Free
多屏分割I,Text Animations,TextOutro,Free
多屏分割II,Text Animations,TextOutro,Free
多维空间,Text Animations,TextOutro,Free
幕布,Text Animations,TextOutro,Free
幸运圣诞树,Text Animations,TextOutro,Free
弹力分割,Text Animations,TextOutro,Free
弹远,Text Animations,TextOutro,Free
录像带分屏,Text Animations,TextOutro,Free
心形缩小,Text Animations,TextOutro,Free
快速翻页,Text Animations,TextOutro,Free
手写云朵,Text Animations,TextOutro,Free
扫描,Text Animations,TextOutro,Free
抖动变焦,Text Animations,TextOutro,Free
抖动横移,Text Animations,TextOutro,Free
折叠,Text Animations,TextOutro,Free
报纸拼贴,Text Animations,TextOutro,Free
报纸拼贴II,Text Animations,TextOutro,Free
拉丝滑出,Text Animations,TextOutro,Free
拼图,Text Animations,TextOutro,Free
探灯聚焦,Text Animations,TextOutro,Free
斜向拉丝,Text Animations,TextOutro,Free
旋转圆球,Text Animations,TextOutro,Free
晃动抽帧,Text Animations,TextOutro,Free
曝光放射,Text Animations,TextOutro,Free
枫叶遮罩,Text Animations,TextOutro,Free
模糊聚焦,Text Animations,TextOutro,Free
横向模糊,Text Animations,TextOutro,Free
水墨,Text Animations,TextOutro,Free
水滴遮罩,Text Animations,TextOutro,Free
油画描边变色,Text Animations,TextOutro,Free
波纹弹动,Text Animations,TextOutro,Free
流金,Text Animations,TextOutro,Free
滑片滑动,Text Animations,TextOutro,Free
烟雾弹,Text Animations,TextOutro,Free
照片回忆,Text Animations,TextOutro,Free
爱心碰撞,Text Animations,TextOutro,Free
玫瑰,Text Animations,TextOutro,Free
玻璃爆开,Text Animations,TextOutro,Free
画出爱心,Text Animations,TextOutro,Free
画面擦除,Text Animations,TextOutro,Free
砸出波纹,Text Animations,TextOutro,Free
空间扭曲,Text Animations,TextOutro,Free
立体交叉,Text Animations,TextOutro,Free
立体翻转,Text Animations,TextOutro,Free
立方合体,Text Animations,TextOutro,Free
竖向拼接,Text Animations,TextOutro,Free
粒子爱心,Text Animations,TextOutro,Free
翻卡,Text Animations,TextOutro,Free
老电视,Text Animations,TextOutro,Free
能量立方,Text Animations,TextOutro,Free
脉冲,Text Animations,TextOutro,Free
色散波纹,Text Animations,TextOutro,Free
荧光爆闪,Text Animations,TextOutro,Free
负片闪屏,Text Animations,TextOutro,Free
转圈圈,Text Animations,TextOutro,Free
迷幻流光,Text Animations,TextOutro,Free
金沙,Text Animations,TextOutro,Free
钱币遮罩,Text Animations,TextOutro,Free
镜面拆分,Text Animations,TextOutro,Free
闪屏,Text Animations,TextOutro,Free
闪现,Text Animations,TextOutro,Free
闪电分屏,Text Animations,TextOutro,Free
雪花遮罩,Text Animations,TextOutro,Free
震动波纹,Text Animations,TextOutro,Free
震波_III,Text Animations,TextOutro,Free
鞭炮遮罩,Text Animations,TextOutro,Free
音量大小,Text Animations,TextOutro,Free
飘散,Text Animations,TextOutro,Free
飞远,Text Animations,TextOutro,Free
马赛克,Text Animations,TextOutro,Free
魔法粒子I,Text Animations,TextOutro,Free
魔法粒子II,Text Animations,TextOutro,Free
黑白画中画,Text Animations,TextOutro,Free
